匹配键(supplier|品名|金额|数量),组内份数(recon+exnew),recon_fix_id,recon_budget_order_id,recon_订单号,recon_订单status,recon_供应商,recon_品名,recon_金额,recon_数量,recon_source_id,exnew_id,exnew_budget_order_id,exnew_订单号,exnew_订单status,exnew_供应商,exnew_品名,exnew_金额,exnew_数量,exnew_source_id,是否draft订单涉及
傲狐服饰 | 0107KL07-0001 | 74649.6 | 5184,2,4f99d11c-7011-4681-a309-f6dbdd93ebf2,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,傲狐服饰,0107KL07-0001,74649.6,5184,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",289addce-c356-48af-beb5-b67b3492a56f,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,傲狐服饰,0107KL07-0001,74649.6,5184,542,Y
义乌-杭州 | CI-57物流费 | 105 | 0,2,4fea134b-5b79-4868-8f60-8640520c517e,20ba2afd-afdb-42d4-8b41-f86dc37f8eee,BO-202604-0018,draft,义乌-杭州,CI-57物流费,105,0,"{""sheet"":""518"",""note"":""纠正性重导入-类目差额补漏""}",af573dc8-44be-4f80-a3e8-5c7f2f15c5c5,eabb1b9c-1a21-4cb3-b496-44a5c81e67d3,518,draft,义乌-杭州,CI-57物流费,105,0,518,Y
连云港中伟塑料制品有限公司 | 衣架+尺码粒 | 4059.2 | 3440,2,50e198ff-43a7-4a03-988e-f2e4757b60f5,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,连云港中伟塑料制品有限公司,衣架+尺码粒,4059.2,3440,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",cd093b1b-1ed4-46ff-8eab-e787a516999e,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,连云港中伟塑料制品有限公司,衣架+尺码粒,4059.2,3440,544B,Y
傲狐服饰 | 0211K78-232（裙裤） | 11520 | 1440,3,53278ce1-5777-4144-b39e-1899b85ca9b5,20ba2afd-afdb-42d4-8b41-f86dc37f8eee,BO-202604-0018,draft,傲狐服饰,0211K78-232（裙裤）,11520,1440,"{""sheet"":""518"",""note"":""纠正性重导入-类目差额补漏""}",4f112bd1-d1b6-4917-a565-76d76ff509fe,eabb1b9c-1a21-4cb3-b496-44a5c81e67d3,518,draft,傲狐服饰,0211K78-232（裙裤）,11520,1440,518,Y
傲狐服饰 | 0211K78-232（裙裤） | 11520 | 1440,3,53278ce1-5777-4144-b39e-1899b85ca9b5,20ba2afd-afdb-42d4-8b41-f86dc37f8eee,BO-202604-0018,draft,傲狐服饰,0211K78-232（裙裤）,11520,1440,"{""sheet"":""518"",""note"":""纠正性重导入-类目差额补漏""}",fddbe9fc-96f6-4632-80b4-e95f451ca797,453936ee-3ff9-4aeb-94a4-232f242394bd,Invoice57（1022861订单）,draft,傲狐服饰,0211K78-232（裙裤）,11520,1440,Invoice57（1022861订单）,Y
宁波言晨国际物流有限公司 | CI-61货代费 | 2965.82 | 0,2,53413a52-cc8a-4931-9fdd-ad4b4da4ddc7,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,宁波言晨国际物流有限公司,CI-61货代费,2965.82,0,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",a1250f63-5708-4ed0-8066-b471a452fdd3,3b213237-a04d-49e6-9916-b92dfdfe5fa1,511B,draft,宁波言晨国际物流有限公司,CI-61货代费,2965.82,0,511B,Y
佳荣织带 | 织带和染色费 | 2206.26 | 0,2,543c9e96-c630-43da-923a-fcc01cb46863,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,佳荣织带,织带和染色费,2206.26,0,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",32bd608f-aa30-4784-9504-75db86683c91,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,佳荣织带,织带和染色费,2206.26,0,542,Y
荣辰纸箱 | 55*36*60纸箱 | 2705.1 | 381,2,5781113b-ee3d-4553-ad65-404ede8363e5,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,荣辰纸箱,55*36*60纸箱,2705.1,381,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",c78f5c9b-4b28-478a-aebf-e68fff8f3490,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,荣辰纸箱,55*36*60纸箱,2705.1,381,544,Y
傲狐服饰 | 0107KL06-00176 | 74649.6 | 5184,2,57c4ccf4-ac5c-44a6-9112-6875660e632f,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,傲狐服饰,0107KL06-00176,74649.6,5184,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",3a85086f-04b6-4400-82f7-f1ade2261527,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,傲狐服饰,0107KL06-00176,74649.6,5184,542,Y
小陈制袋 | 单包袋30*35+4 | 2213.4 | 18600,3,57fb1042-b2ca-4b25-aa41-58b832f92cdb,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,小陈制袋,单包袋30*35+4,2213.4,18600,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",87843853-722f-4485-92d9-be4307892b22,bb6313f6-a5df-4466-9bb4-1866e80dc25e,491,draft,小陈制袋,单包袋30*35+4,2213.4,18600,491,Y
小陈制袋 | 单包袋30*35+4 | 2213.4 | 18600,3,57fb1042-b2ca-4b25-aa41-58b832f92cdb,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,小陈制袋,单包袋30*35+4,2213.4,18600,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",f8066986-ee72-4da0-a092-b5c299dfcde4,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,小陈制袋,单包袋30*35+4,2213.4,18600,544,Y
 | CI-71装柜费 | 140 | 0,2,5a3f4cad-8fa8-4386-b49f-79ae8395f727,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,,CI-71装柜费,140,0,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",5da35408-327e-4489-8e5c-31a8731da450,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,,CI-71装柜费,140,0,543B,Y
品泰服饰 | R0412J92-110 | 17748 | 1224,3,5e16e81d-4c56-4f47-9f2c-14143d7c2676,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-110,17748,1224,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",01b04e45-9f3c-4957-b88b-f4a046b02fc9,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,品泰服饰,R0412J92-110,17748,1224,527,Y
品泰服饰 | R0412J92-110 | 17748 | 1224,3,5e16e81d-4c56-4f47-9f2c-14143d7c2676,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-110,17748,1224,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",c4a6255c-d22e-446d-b001-ae737209bc6b,b3f16d05-8e6d-4cdc-a550-6766d4202180,Invoice72（1022944订单）,draft,品泰服饰,R0412J92-110,17748,1224,Invoice72（1022944订单）,Y
优彩包装 | UV通用主吊卡 | 440 | 8000,2,60a29973-6182-456d-a2cf-e34e3d61e09d,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,优彩包装,UV通用主吊卡,440,8000,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",f561e9fa-99cf-4dd3-a3b7-bca352c536c0,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,优彩包装,UV通用主吊卡,440,8000,543,Y
华航布行 | 黑色 | 48430.9 | 2252.6,2,60b361b6-8b9e-4b9a-bed2-8b2196c2f606,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,华航布行,黑色,48430.9,2252.6,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",342b4658-ffd5-43dd-a760-28407445c134,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,华航布行,黑色,48430.9,2252.6,543B,Y
傲狐服饰 | 0109KP20-0001 | 64281.6 | 5184,3,626d4c61-7034-4017-86a2-659812580aa9,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,傲狐服饰,0109KP20-0001,64281.6,5184,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",4ab2efc1-fdca-4d50-a7d0-0cf25c0115d0,3197bade-15bd-42d1-a9a4-aa458a128dcf,Invoice71（1022939订单）,draft,傲狐服饰,0109KP20-0001,64281.6,5184,Invoice71（1022939订单）,Y
傲狐服饰 | 0109KP20-0001 | 64281.6 | 5184,3,626d4c61-7034-4017-86a2-659812580aa9,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,傲狐服饰,0109KP20-0001,64281.6,5184,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",e8d00604-1048-441e-bbab-a00a7fcfbd0d,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,傲狐服饰,0109KP20-0001,64281.6,5184,543B,Y
优彩包装 | 4款吊牌 | 542.37 | 7976,2,64ed3a78-c113-4022-8e3b-e25d75af3362,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,优彩包装,4款吊牌,542.37,7976,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",9dcdfde6-1f3d-4d5c-829a-ef2745ee7b90,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,优彩包装,4款吊牌,542.37,7976,543,Y
优彩包装 | 4款腰卡 | 414.75 | 7976,2,6a25769f-04a9-4db2-a04e-8f5c8e4beef6,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,优彩包装,4款腰卡,414.75,7976,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",be1131b0-5afa-4469-8347-a528a4099299,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,优彩包装,4款腰卡,414.75,7976,543,Y
顺龙拉链 | 3号布边隐形拉链黑色 | 56.16 | 312,2,6b6d8221-7edb-49cc-9625-f85c5d6081d8,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,顺龙拉链,3号布边隐形拉链黑色,56.16,312,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",9454459a-10bb-4de2-a8dc-591ea0516dfe,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,顺龙拉链,3号布边隐形拉链黑色,56.16,312,542,Y
 | CI-71装柜费 | 210 | 0,2,6ea014e3-e3a9-435d-a5e7-1e633fb71f33,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,,CI-71装柜费,210,0,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",107bf1b4-28d3-4149-ab8a-cad58a23f0d2,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,,CI-71装柜费,210,0,543,Y
品泰服饰 | R0412J92-55 | 17748 | 1224,3,6efb8d46-6dba-4b2c-a265-03e3f5fd1a69,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-55,17748,1224,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",25d3b708-be39-4e3b-9780-dc4021e29ddb,b3f16d05-8e6d-4cdc-a550-6766d4202180,Invoice72（1022944订单）,draft,品泰服饰,R0412J92-55,17748,1224,Invoice72（1022944订单）,Y
品泰服饰 | R0412J92-55 | 17748 | 1224,3,6efb8d46-6dba-4b2c-a265-03e3f5fd1a69,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-55,17748,1224,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",d13c1043-1a59-4a89-929a-8fc7e3a31a1e,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,品泰服饰,R0412J92-55,17748,1224,527,Y
品泰服饰 | R0412J92-125 | 17748 | 1224,3,6f80f096-846c-460d-871e-e7cc98c2ce18,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-125,17748,1224,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",f31d92b4-c99d-407b-8b40-4f0ad82b36fc,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,品泰服饰,R0412J92-125,17748,1224,527,Y
品泰服饰 | R0412J92-125 | 17748 | 1224,3,6f80f096-846c-460d-871e-e7cc98c2ce18,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,品泰服饰,R0412J92-125,17748,1224,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",f676e255-fc6b-4a94-9731-2710abfa1729,b3f16d05-8e6d-4cdc-a550-6766d4202180,Invoice72（1022944订单）,draft,品泰服饰,R0412J92-125,17748,1224,Invoice72（1022944订单）,Y
小陈制袋 | 挂衣袋55*80+4 | 1800 | 2400,2,70486928-c226-4b10-a982-abd837081082,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,小陈制袋,挂衣袋55*80+4,1800,2400,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",6c43d382-1cb2-4036-b7aa-54dd756c5bae,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,小陈制袋,挂衣袋55*80+4,1800,2400,540,Y
荣辰纸箱 | 纸箱 | 3974.4 | 552,2,70dbc208-5050-4754-8644-de10a0c40093,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,荣辰纸箱,纸箱,3974.4,552,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",f8a2d814-45d4-4dfd-927c-037fd220f423,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,荣辰纸箱,纸箱,3974.4,552,540,Y
中阳烫标 | 烫标 | 710.64 | 7896,2,72aa4918-4f5d-4fda-ad7a-8df434a02f73,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,中阳烫标,烫标,710.64,7896,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",bfc9d4c0-83f3-4c40-995b-baf285a5a6cb,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,中阳烫标,烫标,710.64,7896,543,Y
华航布行 | 中绿 | 11686.55 | 497.3,2,7325a02a-7539-4103-b8a9-80b57b6c40c7,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,华航布行,中绿,11686.55,497.3,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",f548fa9f-7bed-4969-addc-92a5c8fdf544,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,华航布行,中绿,11686.55,497.3,527,Y
华航布行 | 黑色 | 30039.8 | 1397.2,2,75f6024d-5207-4225-bf28-a0d9799bd8dc,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,华航布行,黑色,30039.8,1397.2,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",8dc18bc7-8da6-4d06-bd6f-e936f9edd6e9,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,华航布行,黑色,30039.8,1397.2,544B,Y
连云港中伟塑料制品有限公司 | 衣架+尺码粒 | 37453.2 | 31740,2,7757615c-958a-40a0-ad72-ac3a862ae682,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,连云港中伟塑料制品有限公司,衣架+尺码粒,37453.2,31740,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",7951d230-6f4b-4fe9-892e-17ed205eb998,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,连云港中伟塑料制品有限公司,衣架+尺码粒,37453.2,31740,542,Y
优彩包装 | 4款腰卡 | 549.54 | 10568,2,79fef653-1ecc-47d7-a718-b7345da8540d,896c0189-ca9c-4850-a59c-3119585c93d2,BO-202607-0057,draft,优彩包装,4款腰卡,549.54,10568,"{""sheet"":""543B"",""note"":""纠正性重导入-类目差额补漏""}",9bb37582-62e6-4412-bdc2-5337c0c6691c,d3b7cdd6-c01d-4590-b3cc-312dbeaff59b,543B,draft,优彩包装,4款腰卡,549.54,10568,543B,Y
旺泽布行 | 炫蓝色 | 25622.5 | 1024.9,2,7cb3da80-5eb7-4ace-b91e-c73f1d02e229,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,旺泽布行,炫蓝色,25622.5,1024.9,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",40511ae1-ebe5-427e-92a1-f6a9025bece5,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,旺泽布行,炫蓝色,25622.5,1024.9,545,Y
旺泽布行 | 黑色 | 75235.2 | 3134.8,2,7e67c9b0-fa1b-47c8-9f52-16d0b00f6af3,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,旺泽布行,黑色,75235.2,3134.8,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",fe3c4e2a-ff9f-460a-a09a-d5c0fe94e02d,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,旺泽布行,黑色,75235.2,3134.8,543,Y
荣辰纸箱 | 天地盖 | 52.5 | 350,2,7ed2cb18-847b-4b80-b183-04c4788b273a,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,荣辰纸箱,天地盖,52.5,350,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",1d310fa8-ade2-458d-b440-b322ca3577f6,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,荣辰纸箱,天地盖,52.5,350,543,Y
小陈制袋 | 单包袋30*35+4 | 8211 | 69000,2,88b94e95-ee14-4e11-b4a6-68f84cf5eb42,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,小陈制袋,单包袋30*35+4,8211,69000,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",f43136fa-0816-4c98-9610-975ef16733a6,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,小陈制袋,单包袋30*35+4,8211,69000,545,Y
傲狐服饰 | 0106KC15-00134 | 44716.8 | 3288,3,89d03533-d534-40e2-94aa-19123f8c7e71,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,傲狐服饰,0106KC15-00134,44716.8,3288,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",190c4737-4f7e-4fa5-a6f8-25cc17ef1c31,b4b29bde-63d8-48fe-81d9-057c1c90f3be,Invoice61（1022892订单）,draft,傲狐服饰,0106KC15-00134,44716.8,3288,Invoice61（1022892订单）,Y
傲狐服饰 | 0106KC15-00134 | 44716.8 | 3288,3,89d03533-d534-40e2-94aa-19123f8c7e71,04ef2853-98a1-4d72-9c10-57f39a51d8e7,BO-202604-0003,approved,傲狐服饰,0106KC15-00134,44716.8,3288,"{""sheet"":""511B"",""note"":""纠正性重导入-类目差额补漏""}",235bfe1e-ab5c-4a27-8481-1f9ee7bd2a27,3b213237-a04d-49e6-9916-b92dfdfe5fa1,511B,draft,傲狐服饰,0106KC15-00134,44716.8,3288,511B,Y
傲狐服饰 | 0108KL16-0001 | 72576 | 5184,2,8bc3287a-1057-4dec-a29d-447e860bc151,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,傲狐服饰,0108KL16-0001,72576,5184,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",52b16371-b7f9-4aa9-b315-846f8c808d7b,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,傲狐服饰,0108KL16-0001,72576,5184,542,Y
华航布行 | 庄园蓝 | 41548 | 1768,2,8da1ae6c-c003-40a1-9389-f74a53855976,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,华航布行,庄园蓝,41548,1768,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",fc7ea55b-c935-4139-81c0-df4c03ce1c2e,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,华航布行,庄园蓝,41548,1768,542,Y
优彩包装 | 圆形吊牌COZY PANT | 157.72 | 7886,2,8e34ed37-f4e4-40e5-aadb-b9aba51735ec,772f9be2-7dab-405d-a374-2cd36646315c,BO-202607-0058,draft,优彩包装,圆形吊牌COZY PANT,157.72,7886,"{""sheet"":""543"",""note"":""纠正性重导入-类目差额补漏""}",47a0cd27-4f91-485e-935d-4a956c3fc3a6,dab194db-6fdd-410f-ac68-611f11a443a8,543,draft,优彩包装,圆形吊牌COZY PANT,157.72,7886,543,Y
顺龙拉链 | 喷漆费 | 150 | 3,4,8fd1fc76-dfc0-47f8-b69b-20a458a5d245,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,喷漆费,150,3,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",6544ff72-c87f-4ce5-b55a-5643364871e6,0dcdd4e3-1bcd-4b0d-96ff-27b25462bca8,584,draft,顺龙拉链,喷漆费,150,3,584,Y
顺龙拉链 | 喷漆费 | 150 | 3,4,8fd1fc76-dfc0-47f8-b69b-20a458a5d245,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,喷漆费,150,3,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",7e4fbcb4-c081-495c-ad3d-c1f83ec1287a,c3e11ec6-1826-43f6-a6ab-7a1c65565db5,527,draft,顺龙拉链,喷漆费,150,3,527,Y
顺龙拉链 | 喷漆费 | 150 | 3,4,8fd1fc76-dfc0-47f8-b69b-20a458a5d245,b73d8e1b-7991-4306-aacb-caf3c4f561a8,BO-202607-0059,draft,顺龙拉链,喷漆费,150,3,"{""sheet"":""527"",""note"":""纠正性重导入-类目差额补漏""}",c01748ce-19db-4b59-9e65-c03e7511f56f,3dc51e47-69df-4a7d-a3ce-74fad13c08c9,522,draft,顺龙拉链,喷漆费,150,3,522,Y
 | CI-69装柜费 | 92 | 0,2,93c4e76f-8a3f-40cd-a4db-675e0b1dfbb4,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,,CI-69装柜费,92,0,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",cb9a907d-80d9-455f-b0f5-3f6582fa3664,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,,CI-69装柜费,92,0,540,Y
宁波言晨国际物流有限公司 | CI-52货代费 | 1338 | 0,2,93df7128-c6ed-4986-a800-52630322d9d1,c46e2987-47e3-40eb-bd38-2d548d434a1a,BO-202604-0060,pending_review,宁波言晨国际物流有限公司,CI-52货代费,1338,0,"{""sheet"":""466B"",""note"":""纠正性重导入-类目差额补漏""}",d9357345-ff03-4951-ac45-e864034ab7a5,c9cf7902-e0ec-4952-8257-648635329f77,466B,draft,宁波言晨国际物流有限公司,CI-52货代费,1338,0,466B,Y
佳荣织带 | 织带和染色费 | 2045.66 | 0,2,94c53f31-e98c-4834-8987-6cc49288437e,c46e2987-47e3-40eb-bd38-2d548d434a1a,BO-202604-0060,pending_review,佳荣织带,织带和染色费,2045.66,0,"{""sheet"":""466B"",""note"":""纠正性重导入-类目差额补漏""}",11412576-87c4-441e-9b22-d8adcf8565b2,c9cf7902-e0ec-4952-8257-648635329f77,466B,draft,佳荣织带,织带和染色费,2045.66,0,466B,Y
宁波言晨国际物流有限公司 | DDP货代费 | 52595.5 | 0,2,971e794c-12a9-4f47-bb80-7a69f5add919,a039c841-3214-44e8-8f8f-e04a58584363,BO-202604-0067,pending_review,宁波言晨国际物流有限公司,DDP货代费,52595.5,0,"{""sheet"":""PO3301961"",""note"":""纠正性重导入-类目差额补漏""}",c5483f76-fc65-4479-bd36-b8c9201f4243,d71f4de0-42a0-4ead-8b09-f8940b7f79a6,PO3301961,draft,宁波言晨国际物流有限公司,DDP货代费,52595.5,0,PO3301961,Y
佳荣织带 | 织带和染色费 | 802.44 | 0,2,9720c0a1-7f76-4243-851a-6689b4bd8210,c8cd1a87-d1be-400e-9b19-99177acac0f7,BO-202604-0002,approved,佳荣织带,织带和染色费,802.44,0,"{""sheet"":""511"",""note"":""纠正性重导入-类目差额补漏""}",d6e92e6b-4e87-4c11-a8c0-b1e7759044f2,ccdbeb13-710e-4d2e-b0ee-f63cd7c295a9,511,draft,佳荣织带,织带和染色费,802.44,0,511,Y
优彩包装 | 4款腰卡 | 3608.8 | 69400,2,97572c58-072f-4d19-833f-d9c74b41e131,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,优彩包装,4款腰卡,3608.8,69400,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",e4c5803f-6fce-4b7a-976a-22a8177cf864,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,优彩包装,4款腰卡,3608.8,69400,545,Y
旺泽布行 | 鲜红 | 40225 | 1609,2,98211f2a-6aaa-4e42-9b5c-d75a6be0a227,a5b2ee36-94a4-41de-a1aa-4718a2124d09,BO-202607-0053,draft,旺泽布行,鲜红,40225,1609,"{""sheet"":""545"",""note"":""纠正性重导入-类目差额补漏""}",9a34baee-68f7-4541-aad2-f2181c68c8ad,a1ee9913-708a-4ce9-b654-1162fa1dfe5e,545,draft,旺泽布行,鲜红,40225,1609,545,Y
旺泽布行 | 深紫 | 37770 | 1510.8,2,9881f6ec-2d56-4bef-877a-09d32ed0b77f,50dc6eae-0366-4c1a-867a-4992725b22a5,BO-202607-0055,draft,旺泽布行,深紫,37770,1510.8,"{""sheet"":""544"",""note"":""纠正性重导入-类目差额补漏""}",a61fd427-f014-49be-9629-c2f89b37f115,39cbf523-912f-4fe7-a880-35927da2cda8,544,draft,旺泽布行,深紫,37770,1510.8,544,Y
优彩包装 | 4款吊卡 | 498.24 | 6920,2,98e706d3-706d-4183-b4a9-b049318fdc96,9dd2b839-70a2-417e-8108-82d58b06b403,BO-202607-0054,draft,优彩包装,4款吊卡,498.24,6920,"{""sheet"":""544B"",""note"":""纠正性重导入-类目差额补漏""}",b979fbaa-0c56-4a0a-bac9-b2ee019801ed,8388b1a2-7993-4650-8085-402eb3029616,544B,draft,优彩包装,4款吊卡,498.24,6920,544B,Y
优彩包装 | 3款腰卡 | 1402.44 | 26970,2,9c376b0d-be9b-4a54-85f9-4c8cde524e40,5ebce63e-6067-4e0a-89ee-1cf91ea87854,BO-202607-0060,draft,优彩包装,3款腰卡,1402.44,26970,"{""sheet"":""540"",""note"":""纠正性重导入-类目差额补漏""}",d28e01fa-2156-4520-b0e4-8890257c95ec,dbe9d8e6-49c6-4ff7-9491-48c8220582b7,540,draft,优彩包装,3款腰卡,1402.44,26970,540,Y
傲狐服饰 | 0107KL14-0001 | 74649.6 | 5184,2,9e619701-00a4-48a2-ab70-7c41d5c2f2b0,c32efeb8-2f55-4976-8aa1-e5d6c113509c,BO-202607-0056,draft,傲狐服饰,0107KL14-0001,74649.6,5184,"{""sheet"":""542"",""note"":""纠正性重导入-类目差额补漏""}",866aa946-12a2-4c71-a50c-0130f636ab66,8fb1bf1c-cb67-4851-bb25-bf7727293dc8,542,draft,傲狐服饰,0107KL14-0001,74649.6,5184,542,Y
